Word base            L.key                Suffixes id          W.form key                     W.form
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/G/M#1         gdjekojeg
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/G/M#2         gdjekojega
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/G/F#1         gdjekoje
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/G/N#1         gdjekojeg
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/G/N#2         gdjekojega
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/D/M#1         gdjekojem
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/D/M#2         gdjekojemu
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/D/F#1         gdjekojoj
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/D/N#1         gdjekojem
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/D/N#2         gdjekojemu
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/A/M#1         gdjekojeg
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/A/M#2         gdjekojega
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/A/M#3         gdjekoji
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/A/F#1         gdjekoju
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/A/N#1         gdjekoje
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/L/M#1         gdjekojem
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/L/F#1         gdjekojoj
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/L/N#1         gdjekojem
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/I/M#1         gdjekojim
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/I/M#2         gdjekojime
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/I/F#1         gdjekojom
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|S/I/N#1         gdjekojim
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/N/M#1         gdjekoji
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/N/F#1         gdjekoje
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/N/N#1         gdjekoja
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/G/M#1         gdjekojih
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/G/F#1         gdjekojih
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/G/N#1         gdjekojih
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/D/M#1         gdjekojim
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/D/M#2         gdjekojima
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/D/F#1         gdjekojim
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/D/F#2         gdjekojima
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/D/N#1         gdjekojim
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/D/N#2         gdjekojima
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/A/M#1         gdjekoje
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/A/F#1         gdjekoje
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/A/N#1         gdjekoja
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/L/M#1         gdjekojim
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/L/M#2         gdjekojima
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/L/F#1         gdjekojim
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/L/F#2         gdjekojima
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/L/N#1         gdjekojim
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/L/N#2         gdjekojima
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/I/M#1         gdjekojim
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/I/M#2         gdjekojima
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/I/F#1         gdjekojim
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/I/F#2         gdjekojima
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/I/N#1         gdjekojim
gdjekoji             CH#PRON.NEO.CH2#     PRON.UOD.PRD##koji   PRON.NEO.CH2##|P/I/N#2         gdjekojima
gdjetko              CH#PRON.NEO.CH1#     PRON.UOD.IME##tko    PRON.NEO.CH1##|S/N#1           gdjetko
